AURUM-NY PRIME v2.0 trade export · 108 positions · SYNTHETIC — NOT A RESULT
ts_entry,ts_exit,symbol,session_type,orb_model,entry,stop,init_R,units,lots,risk_usd,realized_R,score,grade,htf_4h,htf_1h,vwap_ext,vwap_slope,gc_count,dxy_score,corr_gold_dxy,ry_mom,vix_support,pivot_slope_norm,strict_struct,touch3_dist_atr,rej_br,rej_clv,atr_shock,modeled_spread,vol_mode,dist_pdh,dist_london_high,mae_R,mfe_R,exit_type,hold_bars,news_blackout,rule_violation,eval_mode,ablation,entry_mode,stop_model
2025-01-08 09:40,2025-01-08 10:15,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,1.5000,88.4,A+,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.227,1.692,TP1+TRAIL,8,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
2025-01-13 09:35,2025-01-13 10:15,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,1.5000,82.9,A+,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.128,1.768,TP1+TRAIL,18,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
2025-01-14 09:50,2025-01-14 10:40,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,1.5000,88.8,A+,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.052,2.046,TP1+TRAIL,23,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
2025-01-20 09:40,2025-01-20 10:40,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,0.4364,92.3,A++,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.292,0.941,BE/TRAIL,9,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
2025-01-22 09:40,2025-01-22 10:40,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,1.5000,81.7,A+,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.203,1.642,TP1+TRAIL,25,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
2025-01-28 09:35,2025-01-28 10:40,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,3.3791,86.2,A+,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.282,3.915,TP2/RUNNER,6,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
2025-01-31 09:40,2025-01-31 10:15,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,1.5000,92.5,A++,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.283,1.972,TP1+TRAIL,29,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
2025-02-11 09:40,2025-02-11 10:15,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,-1.0000,80.1,A+,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.942,0.350,SL,19,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
2025-02-18 09:35,2025-02-18 10:15,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,2.6731,95.1,A++,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.064,3.225,TP2/RUNNER,20,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
2025-02-20 09:40,2025-02-20 10:15,XAUUSD,SESSION_CONTINUATION,ORB_RETEST_ACCEPTANCE,2010.5,2008.4,2.1,238,2.38,500,1.5000,83.5,A+,1,1,0.42,0.11,3,3,-0.44,-0.01,0.0,0.02,1,0.03,0.55,0.82,1.02,0.30,Broker volume,12.5,4.2,0.495,1.757,TP1+TRAIL,13,0,0,FTMO 2-Step,J · Full AURUM-NY PRIME,Conservative,A · Touch #3
